target,model,AUC,SD,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN
Overall_Survival,Logistic Regression,0.7403608569029826,0.03598120140925131,0.7695664324823813,0.7350543478260869,0.6185383244206774,0.7165562913907285,0.6402214022140221,0.2048644879218002,541,347,214,195
Overall_Survival,Random Forest,0.7493331874212766,0.032025232771824175,0.781140424148231,0.7703804347826086,0.5989304812834224,0.7159090909090909,0.6653465346534654,0.2011053737861748,567,336,225,169
Overall_Survival,XGBoost,0.751709742392874,0.02518350840375993,0.7810483773614962,0.7404891304347826,0.6345811051693404,0.7266666666666667,0.6508226691042047,0.20380119299881222,545,356,205,191
Overall_Survival,SVM (RBF),0.7521037492541691,0.038299901151254305,0.76932509986621,0.7975543478260869,0.5918003565062389,0.7193627450980392,0.6902286902286903,0.19960760590472715,587,332,229,149
Overall_Survival,Stacking Ensemble,0.7599086249714974,0.03361726842850514,0.779943463441487,0.7785326086956522,0.5989304812834224,0.7180451127819549,0.6733466933867736,0.1973763714074395,573,336,225,163
Relapse_Free,Logistic Regression,0.6545054211843203,0.051497942571258344,0.5964672751526283,0.3882783882783883,0.8453333333333334,0.6463414634146342,0.6549586776859504,0.22452511901679348,212,634,116,334
Relapse_Free,Random Forest,0.6661785932721713,0.04067675600837423,0.5936619546102315,0.4194139194139194,0.8133333333333334,0.6205962059620597,0.6580366774541532,0.22320797046612353,229,610,140,317
Relapse_Free,XGBoost,0.6378945788156797,0.0399955151276287,0.5733253435959802,0.45604395604395603,0.7546666666666667,0.5750577367205543,0.6558516801853997,0.23867729853203457,249,566,184,297
Relapse_Free,SVM (RBF),0.6487526271893245,0.04398600514063292,0.5928590021688006,0.38278388278388276,0.8546666666666667,0.6572327044025157,0.6554192229038854,0.22376924389140287,209,641,109,337
Relapse_Free,Stacking Ensemble,0.6704574923547402,0.04470261881696652,0.6074652819692978,0.3882783882783883,0.8493333333333334,0.6523076923076923,0.6560247167868177,0.22148858029859744,212,637,113,334
NPI_High_Risk,Logistic Regression,0.997128903359479,0.003488473929590241,0.9623922603343137,0.9926470588235294,0.9767441860465116,0.8333333333333334,0.9991189427312775,0.01650174229203383,135,1134,27,1
NPI_High_Risk,Random Forest,1.0,0.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.004529851490414562,136,1161,0,0
NPI_High_Risk,XGBoost,1.0,5.551115123125783e-17,0.9999999999999999,1.0,1.0,1.0,1.0,2.9163682558932912e-05,136,1161,0,0
NPI_High_Risk,SVM (RBF),0.9923289624007398,0.005329575892998298,0.9539669729356118,0.8382352941176471,0.9879414298018949,0.890625,0.981180496150556,0.019039838060160307,114,1147,14,22
NPI_High_Risk,Stacking Ensemble,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.00024182163531124816,136,1161,0,0
Vital_Disease,Logistic Regression,0.6696963161373362,0.03396209675571729,0.5244773608572669,0.30112359550561796,0.8954171562867215,0.600896860986547,0.7101584342963654,0.20693375309593726,134,762,89,311
Vital_Disease,Random Forest,0.6760794363083298,0.046675546771309306,0.5256050587403277,0.31685393258426964,0.8895417156286721,0.6,0.7134778510838832,0.2054915747832971,141,757,94,304
Vital_Disease,XGBoost,0.657641879539121,0.0318429309104587,0.5038670359319453,0.36404494382022473,0.8425381903642774,0.5472972972972973,0.717,0.21829206002875146,162,717,134,283
Vital_Disease,SVM (RBF),0.668428087182044,0.019720594037800944,0.5280739408230193,0.2786516853932584,0.9071680376028202,0.6108374384236454,0.7063129002744739,0.20576677129154752,124,772,79,321
Vital_Disease,Stacking Ensemble,0.6828255702044272,0.04162545007846656,0.53684690003498,0.29213483146067415,0.9071680376028202,0.6220095693779905,0.7102115915363385,0.20382283067575693,130,772,79,315
Luminal_Subtype,Logistic Regression,0.8533156777731523,0.018846180771928487,0.8651853275130478,0.9802224969097652,0.625,0.8125,0.9501557632398754,0.11982867830925481,793,305,183,16
Luminal_Subtype,Random Forest,0.8587334345822502,0.025429786185110544,0.8690922593283406,0.9901112484548825,0.6311475409836066,0.8165137614678899,0.9746835443037974,0.11892744580859134,801,308,180,8
Luminal_Subtype,XGBoost,0.8530551285493244,0.028425689201281128,0.8602090071948224,0.9468479604449939,0.6516393442622951,0.8183760683760684,0.8808864265927978,0.12453599397658949,766,318,170,43
Luminal_Subtype,SVM (RBF),0.8549823161260027,0.028979165592021683,0.862147868996724,0.9752781211372065,0.6352459016393442,0.8159255429162358,0.9393939393939394,0.12035940016091606,789,310,178,20
Luminal_Subtype,Stacking Ensemble,0.8619371590413525,0.025806232194246617,0.872127758399406,0.9728059332509271,0.639344262295082,0.8172377985462098,0.9341317365269461,0.11656421990071354,787,312,176,22
HER2_Positive,Logistic Regression,0.7623995285570755,0.04130038073216743,0.273164195121621,0.7,0.702726473175022,0.24888888888888888,0.9433293978748524,0.1938962551911211,112,799,338,48
HER2_Positive,Random Forest,0.752751009544787,0.04453829001455788,0.3076042015346804,0.44375,0.8443271767810027,0.2862903225806452,0.9151572926596759,0.13797628969941983,71,960,177,89
HER2_Positive,XGBoost,0.715674028132004,0.04419330311224812,0.28034772958199217,0.20625,0.9287598944591029,0.2894736842105263,0.8926458157227388,0.11512716526796378,33,1056,81,127
HER2_Positive,SVM (RBF),0.7235819276992039,0.054437993027951256,0.25165389297424584,0.48125,0.802990325417766,0.2558139534883721,0.9166666666666666,0.16199318960874545,77,913,224,83
HER2_Positive,Stacking Ensemble,0.7248467568977509,0.0452230789566777,0.27839564071801826,0.24375,0.9199648197009674,0.3,0.8963153384747216,0.12187804435596579,39,1046,91,121
