Target,Feature,N,Phi_absolute,Rate_negative_target,Rate_positive_target
Overall_Survival,ER Status,1981,0.02809327993953972,0.7467144563918757,0.7709790209790209
Overall_Survival,PR Status,1980,0.017123553374177078,0.5352449223416965,0.5179352580927384
Overall_Survival,HER2 Status,1980,0.03840878838028142,0.10991636798088411,0.13560804899387577
Overall_Survival,Chemotherapy,1980,0.03736673724191414,0.22580645161290322,0.19510061242344706
Overall_Survival,Hormone Therapy,1980,0.031579750855182845,0.5961768219832736,0.6272965879265092
Overall_Survival,Radio Therapy,1980,0.10016312365913828,0.6499402628434886,0.5503062117235346
Overall_Survival,Mastectomy,1955,0.17850472767171582,0.4963768115942029,0.673469387755102
Overall_Survival,Post-Menopausal,1980,0.16888392925003481,0.7048984468339307,0.8451443569553806
Overall_Survival,LN Positive (flag),1905,0.13209498988943766,0.40074906367041196,0.5344202898550725
Overall_Survival,High Grade (G3),1893,0.0678800052403613,0.4640198511166253,0.5326586936522539
Relapse_Free,ER Status,2459,0.042524096558421466,0.7539302802460697,0.7158634538152611
Relapse_Free,PR Status,1979,0.05066236001038492,0.5459183673469388,0.4943960149439601
Relapse_Free,HER2 Status,1979,0.08960038472519273,0.10034013605442177,0.16064757160647572
Relapse_Free,Chemotherapy,1979,0.1389610873615759,0.16156462585034015,0.2764632627646326
Relapse_Free,Hormone Therapy,1979,0.017769700071553575,0.6215986394557823,0.6039850560398505
Relapse_Free,Radio Therapy,1979,0.013503822898236553,0.5867346938775511,0.6002490660024906
Relapse_Free,Mastectomy,1954,0.09817895641711408,0.5590008613264428,0.6569987389659521
Relapse_Free,Post-Menopausal,1979,0.06008675040326703,0.8061224489795918,0.7559153175591532
Relapse_Free,LN Positive (flag),2228,0.18601944685897281,0.3929110105580694,0.582039911308204
Relapse_Free,High Grade (G3),2378,0.10791918430445245,0.4576271186440678,0.5675675675675675
NPI_High_Risk,ER Status,2262,0.1717605974149038,0.7731343283582089,0.5357142857142857
NPI_High_Risk,PR Status,1980,0.14977264071666313,0.5502526670409882,0.3015075376884422
NPI_High_Risk,HER2 Status,1980,0.1279772488600703,0.11061201572150477,0.25125628140703515
NPI_High_Risk,Chemotherapy,1980,0.26314007082121094,0.17237507018528916,0.5276381909547738
NPI_High_Risk,Hormone Therapy,1980,0.04411874218490655,0.6069623806850084,0.678391959798995
NPI_High_Risk,Radio Therapy,1980,0.13710311792773905,0.5699045480067377,0.7939698492462312
NPI_High_Risk,Mastectomy,1955,0.11360985087447052,0.579874928936896,0.7653061224489796
NPI_High_Risk,Post-Menopausal,1980,0.026147987254812564,0.7894441325098259,0.7537688442211056
NPI_High_Risk,LN Positive (flag),2129,0.37819599992978203,0.4041313559322034,1.0
NPI_High_Risk,High Grade (G3),2199,0.3402679179836778,0.4381099126861839,0.9722222222222222
Vital_Disease,ER Status,1980,0.0993415240306257,0.7901049475262368,0.6996904024767802
Vital_Disease,PR Status,1979,0.10823914732079283,0.5626406601650412,0.4473684210526316
Vital_Disease,HER2 Status,1979,0.12837605993429055,0.09527381845461365,0.18575851393188855
Vital_Disease,Chemotherapy,1979,0.17388070069062478,0.159039759939985,0.30959752321981426
Vital_Disease,Hormone Therapy,1979,0.017570234207375784,0.6204051012753188,0.6021671826625387
Vital_Disease,Radio Therapy,1979,0.01628644646794896,0.5866466616654163,0.6037151702786377
Vital_Disease,Mastectomy,1954,0.11044307632227145,0.5611237661351557,0.6766091051805337
Vital_Disease,Post-Menopausal,1979,0.046211419385924095,0.7989497374343586,0.7585139318885449
Vital_Disease,LN Positive (flag),1904,0.2026436908760751,0.4079563182527301,0.6237942122186495
Vital_Disease,High Grade (G3),1892,0.15266809679635734,0.44936708860759494,0.6114649681528662
Luminal_Subtype,ER Status,1980,0.6681554965830636,0.4161490683229814,0.9965957446808511
Luminal_Subtype,PR Status,1980,0.4546973422229722,0.25093167701863356,0.7131914893617022
Luminal_Subtype,HER2 Status,1980,0.2507370817044915,0.2248447204968944,0.05617021276595745
Luminal_Subtype,Chemotherapy,1980,0.3583996839890713,0.3838509316770186,0.0876595744680851
Luminal_Subtype,Hormone Therapy,1980,0.28384542038612215,0.4472049689440994,0.7285106382978723
Luminal_Subtype,Radio Therapy,1980,0.039963310544676146,0.6161490683229813,0.5761702127659575
Luminal_Subtype,Mastectomy,1955,0.03193181192764107,0.6175349428208387,0.5856164383561644
Luminal_Subtype,Post-Menopausal,1980,0.18952880325046892,0.6919254658385093,0.8502127659574468
Luminal_Subtype,LN Positive (flag),1904,0.04601456807931451,0.506544502617801,0.45964912280701753
Luminal_Subtype,High Grade (G3),1892,0.30373317474791195,0.6870925684485006,0.37777777777777777
HER2_Positive,ER Status,1980,0.28608679487099564,0.8066935949221004,0.43724696356275305
HER2_Positive,PR Status,1980,0.2379395852618436,0.5701096364685516,0.21052631578947367
HER2_Positive,Chemotherapy,1980,0.1943029980355078,0.17830351990767454,0.41700404858299595
HER2_Positive,Hormone Therapy,1980,0.10264972747855802,0.6330063473744951,0.4817813765182186
HER2_Positive,Radio Therapy,1980,0.011419343512823893,0.5903058280438546,0.6072874493927125
HER2_Positive,Mastectomy,1955,0.06736952953292949,0.5859649122807018,0.6857142857142857
HER2_Positive,Post-Menopausal,1980,0.09354611445692719,0.8003462204270052,0.6842105263157895
HER2_Positive,LN Positive (flag),1904,0.07683700819233613,0.46402877697841727,0.5805084745762712
HER2_Positive,High Grade (G3),1892,0.1971929431244497,0.46586102719033234,0.7637130801687764
