Target,Feature,N_negative,N_positive,Mean_negative,Mean_positive,Absolute_Cohen_d
Overall_Survival,Age at Diagnosis,837,1144,56.499151732377534,64.4436451048951,0.650072196940607
Overall_Survival,Tumor Size,827,1128,23.351837968561064,28.419140070921987,0.33902506731149884
Overall_Survival,Nottingham prognostic index,837,1143,3.8179497491039425,4.152298845144357,0.29258961694754254
Overall_Survival,Mutation Count,771,1089,5.3229571984435795,5.963269054178145,0.16204305344257167
Overall_Survival,Lymph nodes examined positive,801,1104,1.2147315855181025,2.5715579710144927,0.3504368969838188
Relapse_Free,Age at Diagnosis,1486,1002,61.21409825033647,59.29862275449102,0.14682083687415046
Relapse_Free,Tumor Size,1394,956,24.43654949784792,28.81053347280335,0.2811509265856974
Relapse_Free,Nottingham prognostic index,1353,925,3.794466622320768,4.367710464864865,0.49303533444084213
Relapse_Free,Mutation Count,1386,951,5.531746031746032,5.64248159831756,0.027658821071072714
Relapse_Free,Lymph nodes examined positive,1326,902,1.1598793363499247,3.138580931263858,0.477679215629617
NPI_High_Risk,Age at Diagnosis,2035,252,61.13973955773955,59.294960317460315,0.13681073718217218
NPI_High_Risk,Tumor Size,2012,249,24.8310337972167,37.17558232931727,0.6310912100509041
NPI_High_Risk,Nottingham prognostic index,2035,252,3.7736531105651103,6.089093015873015,3.183961037852958
NPI_High_Risk,Mutation Count,1913,239,5.69315211709357,5.150627615062762,0.1479192170720181
NPI_High_Risk,Lymph nodes examined positive,1888,241,1.08739406779661,9.037344398340249,1.6217147584102876
Vital_Disease,Age at Diagnosis,1334,646,61.38793853073463,60.469349845201236,0.07005751124022032
Vital_Disease,Tumor Size,1315,639,24.35839543726236,30.238607198748046,0.364455021914845
Vital_Disease,Nottingham prognostic index,1333,646,3.787716864216054,4.471586594427244,0.6084160160876484
Vital_Disease,Mutation Count,1246,613,5.670144462279294,5.742251223491028,0.018397214300241695
Vital_Disease,Lymph nodes examined positive,1282,622,1.3104524180967239,3.427652733118971,0.4845651050886904
Luminal_Subtype,Age at Diagnosis,805,1175,57.03747826086956,63.8579914893617,0.5410714833258335
Luminal_Subtype,Tumor Size,785,1169,27.594929936305732,25.396698032506414,0.13959048523733267
Luminal_Subtype,Nottingham prognostic index,805,1175,4.27120998757764,3.832661685106383,0.38249711135948006
Luminal_Subtype,Mutation Count,735,1124,6.006802721088436,5.495551601423488,0.12172451171390658
Luminal_Subtype,Lymph nodes examined positive,764,1140,2.304973821989529,1.7991228070175438,0.122278187234328
HER2_Positive,Age at Diagnosis,1733,247,61.690467397576455,56.836963562753034,0.3732829242270459
HER2_Positive,Tumor Size,1710,244,26.055929824561403,27.848852459016392,0.11173747082932284
HER2_Positive,Nottingham prognostic index,1733,247,3.933705297172533,4.552996923076923,0.5442511355321871
HER2_Positive,Mutation Count,1630,229,5.6803680981595095,5.820960698689956,0.03776040873409265
HER2_Positive,Lymph nodes examined positive,1668,236,1.802757793764988,3.4110169491525424,0.31955976918066825
