target,method,AUC,SD,CI_low,CI_high,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN
Overall_Survival,Nested Traditional,0.756977325986943,0.032545678667880176,0.6963611297384203,0.8175935222354657,0.7801011335574464,0.779891304347826,0.6007130124777184,0.7192982456140351,0.6753507014028056,0.19866877323925997,574,337,224,162
Overall_Survival,mljar,0.7454866382094574,0.03469337716220662,0.6808703621118323,0.8101029143070825,0.7764474679103948,0.7595108695652174,0.6060606060606061,0.7166666666666667,0.6576402321083172,0.20393626531519346,559,340,221,177
Overall_Survival,tabnet,0.6504136956914859,0.07169376935982694,0.5168843372270537,0.783943054155918,0.6934154773369566,0.6494565217391305,0.5508021390374331,0.6547945205479452,0.544973544973545,0.2403887868403459,478,309,252,258
Relapse_Free,Nested Traditional,0.6658824576035586,0.04512648067025694,0.5818345679827143,0.7499303472244029,0.5918027086377449,0.38278388278388276,0.8453333333333334,0.6430769230769231,0.6529351184346035,0.2237598254968261,209,634,116,337
Relapse_Free,mljar,0.6631243814289686,0.04612586310358707,0.5772151460262693,0.7490336168316678,0.5897666075776898,0.3901098901098901,0.8426666666666667,0.6435045317220544,0.6549222797927461,0.22482219294049202,213,632,118,333
Relapse_Free,tabnet,0.5742387545176536,0.05557348238091153,0.4707333660268698,0.6777441430084374,0.4984668483225092,0.3443223443223443,0.7453333333333333,0.49604221635883905,0.6095965103598692,0.257698186047823,188,559,191,358
NPI_High_Risk,Nested Traditional,1.0,0.0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.004529851490414562,136,1161,0,0
NPI_High_Risk,mljar,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,136,1161,0,0
NPI_High_Risk,tabnet,0.9810832025655541,0.019139837697520576,0.9454353314648423,1.0,0.9061431583253079,0.9264705882352942,0.967269595176572,0.7682926829268293,0.9911738746690203,0.03152911322759361,126,1123,38,10
Vital_Disease,Nested Traditional,0.6791638161276732,0.04662003947075358,0.5923341792191632,0.7659934530361832,0.5355943560889587,0.2943820224719101,0.9083431257344301,0.6267942583732058,0.7111315547378105,0.2053416952286035,131,773,78,314
Vital_Disease,mljar,0.6793308673755328,0.035318706002331765,0.6135499188161749,0.7451118159348907,0.5282289485099158,0.31910112359550563,0.8895417156286721,0.6016949152542372,0.7141509433962264,0.20424040363500323,142,757,94,303
Vital_Disease,tabnet,0.5838627412329016,0.035225887932733194,0.5182546659566486,0.6494708165091546,0.41960606091649855,0.26741573033707866,0.8225616921269095,0.44074074074074077,0.682261208576998,0.2418622413504423,119,700,151,326
Luminal_Subtype,Nested Traditional,0.8619120936505533,0.025851194919304946,0.8137643465877797,0.9100598407133269,0.8722701650147147,0.9728059332509271,0.639344262295082,0.8172377985462098,0.9341317365269461,0.11657007297612884,787,312,176,22
Luminal_Subtype,mljar,0.8532447750562472,0.031164824946905492,0.7952004133359044,0.91128913677659,0.8615802745803751,0.9913473423980222,0.6168032786885246,0.8109201213346815,0.9772727272727273,0.1181247030578716,802,301,187,7
Luminal_Subtype,tabnet,0.8176768245830652,0.015414757690390265,0.7889669000852769,0.8463867490808535,0.833808947112556,0.9320148331273177,0.5963114754098361,0.7928496319663512,0.8410404624277457,0.1504934171446014,754,291,197,55
HER2_Positive,Nested Traditional,0.7498921622613803,0.05544942563562381,0.6466178289621337,0.853166495560627,0.2590290523853624,0.51875,0.7950747581354441,0.2626582278481013,0.9215086646279307,0.16183802097280356,83,904,233,77
HER2_Positive,mljar,0.7068105630265091,0.03609412725187343,0.6395853954936541,0.7740357305593641,0.24900004387417246,0.2375,0.920844327176781,0.296875,0.8956372968349017,0.12392263657106048,38,1047,90,122
HER2_Positive,tabnet,0.6324625405750057,0.0628827830123115,0.5153436089151359,0.7495814722348756,0.21182351325741977,0.50625,0.6824978012313104,0.1832579185520362,0.9076023391812865,0.21733454216704048,81,776,361,79
