target,threshold,AUC,AP,Sensitivity,Specificity,PPV,NPV,Brier,TP,TN,FP,FN
Overall_Survival,0.5,0.7532066186158258,0.7801011335574464,0.779891304347826,0.6007130124777184,0.7192982456140351,0.6753507014028056,0.19866877323925997,574,337,224,162
Overall_Survival,Youden,0.7532066186158258,0.7801011335574464,0.6820652173913043,0.6934046345811051,0.744807121661721,0.6243980738362761,0.19866877323925997,502,389,172,234
Relapse_Free,0.5,0.6625445665445666,0.5918027086377449,0.38278388278388276,0.8453333333333334,0.6430769230769231,0.6529351184346035,0.2237598254968261,209,634,116,337
Relapse_Free,Youden,0.6625445665445666,0.5918027086377449,0.5457875457875457,0.704,0.573076923076923,0.6804123711340206,0.2237598254968261,298,528,222,248
NPI_High_Risk,0.5,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.004529851490414562,136,1161,0,0
NPI_High_Risk,Youden,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.004529851490414562,136,1161,0,0
Vital_Disease,0.5,0.6696787652332352,0.5355943560889587,0.2943820224719101,0.9083431257344301,0.6267942583732058,0.7111315547378105,0.2053416952286035,131,773,78,314
Vital_Disease,Youden,0.6696787652332352,0.5355943560889587,0.550561797752809,0.7121034077555817,0.5,0.7518610421836228,0.2053416952286035,245,606,245,200
Luminal_Subtype,0.5,0.8598375853614054,0.8722701650147147,0.9728059332509271,0.639344262295082,0.8172377985462098,0.9341317365269461,0.11657007297612884,787,312,176,22
Luminal_Subtype,Youden,0.8598375853614054,0.8722701650147147,0.9666254635352287,0.6475409836065574,0.8197064989517819,0.9212827988338192,0.11657007297612884,782,316,172,27
HER2_Positive,0.5,0.7195250659630608,0.2590290523853624,0.51875,0.7950747581354441,0.2626582278481013,0.9215086646279307,0.16183802097280356,83,904,233,77
HER2_Positive,Youden,0.7195250659630608,0.2590290523853624,0.81875,0.5690413368513633,0.2109500805152979,0.9571005917159763,0.16183802097280356,131,647,490,29
