feature,mean_absolute_shap
log(Mutation Count),0.9275338415521345
Mutation Count,0.8020927721074789
Histologic Grade,0.6181545765304781
PR Status,0.44350685706691184
LN Positive (flag),0.31417800536582396
Age (yrs),0.2558622297812595
ER Status,0.252800411188059
Mastectomy,0.2516546723128215
Age Group,0.2344772137077448
High Grade (G3),0.2154882543966894
LN Positive (count),0.20230929856421168
Chemotherapy,0.19711890403768068
Post-Menopausal,0.1843519379054517
NPI Score,0.0926532149450323
NPI Group,0.08095920107170196
Tumor Size (cm),0.040966195647432105
Tumor Size (mm),0.040966195647430814
Tumor Stage,0.028944404205819427
Radio Therapy,0.014837993314261257
Hormone Therapy,0.003986444029539848
