feature,mean_absolute_shap
LN Positive (count),0.25743479310120243
LN Positive (flag),0.07435292924393207
Histologic Grade,0.07087727636760585
High Grade (G3),0.0657708090401862
Tumor Stage,0.043273445342534946
Chemotherapy,0.015053462148995549
Mastectomy,0.010831588021654393
Radio Therapy,0.008753305164408748
Tumor Size (mm),0.008589161670690468
Tumor Size (cm),0.007913425221555168
PR Status,0.007642544659243152
Hormone Therapy,0.006903455434806331
ER Status,0.005678630844421238
Mutation Count,0.0029987800781949058
Age (yrs),0.002197657590659093
log(Mutation Count),0.002062221615844211
Age Group,0.0012316352364995225
Post-Menopausal,0.0007004851348705979
ER × HER2,0.0005195375858912889
HER2 Status,0.0004604873542973522
