feature,mean_absolute_shap
ER Status,0.1778602644977593
PR Status,0.04027603920967511
Hormone Therapy,0.03051761230502073
Chemotherapy,0.029807306279010765
HER2 Status,0.015220894419697945
Age (yrs),0.014182608964577301
NPI Score,0.011491085988346916
Histologic Grade,0.011459245855626013
Mutation Count,0.008512818060454841
High Grade (G3),0.007000754109312263
log(Mutation Count),0.005107477783130676
Tumor Size (mm),0.005004571971262433
LN Positive (count),0.0046118636054043325
Tumor Size (cm),0.0035435471576141806
ER × HER2,0.003330756971526344
Tumor Stage,0.003143431368242745
Age Group,0.002913284093244659
Radio Therapy,0.0024874211150675567
NPI Group,0.0022661129199901984
LN Positive (flag),0.001774154064788372
Mastectomy,0.0015993866730954352
Post-Menopausal,0.0012892793319983645
