feature,mean_absolute_shap
Age (yrs),0.08825997811651978
Age Group,0.028576711338352944
NPI Score,0.025057592290158092
LN Positive (count),0.01883236934178193
Hormone Therapy,0.01823368313834879
Mutation Count,0.01563917486679815
Tumor Size (mm),0.015631897387910494
log(Mutation Count),0.013223569547786359
Tumor Size (cm),0.011605189732507399
Mastectomy,0.010674679693928582
NPI Group,0.008379817689319878
Radio Therapy,0.0064834679971047015
Chemotherapy,0.006140671026746155
HER2 Status,0.005636861052009695
ER × HER2,0.004562499526868747
Post-Menopausal,0.003962205126088956
PR Status,0.0036825830752137577
LN Positive (flag),0.0034795396227363974
ER Status,0.001499229690425733
Tumor Stage,0.0014326769870371453
Histologic Grade,0.0013918165510537455
High Grade (G3),0.0010299118377138272
