feature,mean_absolute_shap
LN Positive (count),0.03044127569150374
NPI Score,0.019661299659641363
Tumor Size (cm),0.014312787722196591
Tumor Size (mm),0.012294194855250285
log(Mutation Count),0.012217038452362643
Mutation Count,0.009333420057253284
LN Positive (flag),0.008990193270129804
Age (yrs),0.007618172409397617
NPI Group,0.007463281828280403
ER × HER2,0.0059291380784320235
Tumor Stage,0.004847034804294672
HER2 Status,0.004577604762152176
Radio Therapy,0.004358826572582134
Post-Menopausal,0.0030901027533052038
Hormone Therapy,0.0029756495859374035
Mastectomy,0.0026937834372622845
Age Group,0.0024471022333061544
Histologic Grade,0.0022410781875196596
PR Status,0.002049482777608659
Chemotherapy,0.0016103683267632888
High Grade (G3),0.0010959864707930063
ER Status,0.0007871177950359775
