feature,mean_absolute_shap
LN Positive (count),0.03573634950603564
NPI Score,0.026454296596458253
Tumor Size (mm),0.013476805107545073
Mutation Count,0.012043700645888366
log(Mutation Count),0.010825002747393024
HER2 Status,0.010318565201842855
Tumor Size (cm),0.008649869665668643
ER × HER2,0.008165591708124148
Age (yrs),0.007579897420799749
NPI Group,0.007200751779552988
Radio Therapy,0.006583148940987643
Tumor Stage,0.005684747876615356
LN Positive (flag),0.004802843161871513
Mastectomy,0.004426750649140393
Histologic Grade,0.00386077952630533
Hormone Therapy,0.003567570631467417
Chemotherapy,0.0034688706426993774
Age Group,0.001886705174774548
ER Status,0.0018575512563945892
High Grade (G3),0.0018217586860208093
Post-Menopausal,0.0013139286028028049
PR Status,0.0012412042386736857
